dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,conf_lo,conf_hi,sep_evidence,p_median,ARI,AMI,NMI
sep_k3_d10,sep,8,800,10,3,CDK knn+2ec,3,3.5193560123443604,43,20,3,3,0.023255813953488372,0.7307692307692307,1.0,1.0,1.0
sep_k3_d10,sep,9,800,10,3,CDK knn+2ec,3,3.8900985717773438,42,19,3,3,0.09523809523809523,0.5961538461538461,0.9962500118508789,0.9924899863753236,0.9925071335780613
sep_k3_d10,sep,10,800,10,3,CDK knn+2ec,3,3.3335084915161133,46,21,3,3,0.021739130434782608,0.6923076923076923,1.0,1.0,1.0
sep_k3_d10,sep,11,800,10,3,CDK knn+2ec,3,3.033346176147461,41,19,3,3,0.024390243902439025,0.8076923076923077,1.0,1.0,1.0
sep_k3_d10,sep,13,800,10,3,CDK knn+2ec,3,2.440974473953247,38,18,3,3,0.02631578947368421,0.6730769230769231,1.0,1.0,1.0
sep_k3_d10,sep,12,800,10,3,CDK knn+2ec,3,2.9877424240112305,41,19,3,3,0.04878048780487805,0.7307692307692307,1.0,1.0,1.0
sep_k3_d10,sep,14,800,10,3,CDK knn+2ec,3,2.367748260498047,42,19,3,3,0.023809523809523808,0.6346153846153846,1.0,1.0,1.0
sep_k3_d10,sep,15,800,10,3,CDK knn+2ec,3,2.584324359893799,38,18,3,3,0.02631578947368421,0.75,1.0,1.0,1.0
sep_k3_d10,sep,17,800,10,3,CDK knn+2ec,3,3.061837673187256,44,20,3,3,0.06818181818181818,0.8461538461538461,1.0,1.0,1.0
sep_k3_d10,sep,16,800,10,3,CDK knn+2ec,3,3.6756343841552734,40,18,3,3,0.075,0.6923076923076923,1.0,1.0,1.0
sep_k3_d10,sep,18,800,10,3,CDK knn+2ec,3,3.93491792678833,47,21,3,3,0.0851063829787234,0.5384615384615384,1.0,1.0,1.0
sep_k3_d10,sep,19,800,10,3,CDK knn+2ec,3,4.286098003387451,45,20,3,3,0.08888888888888889,0.7692307692307693,1.0,1.0,1.0
sep_k3_d50,sep,1,800,50,3,CDK knn+2ec,3,4.9721362590789795,38,17,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,0,800,50,3,CDK knn+2ec,3,6.144455909729004,34,15,3,3,0.11764705882352941,1.0,1.0,1.0,1.0
sep_k3_d50,sep,2,800,50,3,CDK knn+2ec,3,3.504387140274048,44,19,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,4,800,50,3,CDK knn+2ec,3,2.967865467071533,34,16,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,3,800,50,3,CDK knn+2ec,3,8.74254322052002,33,14,3,3,0.21212121212121213,1.0,1.0,1.0,1.0
sep_k3_d50,sep,5,800,50,3,CDK knn+2ec,3,3.3402516841888428,49,21,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,7,800,50,3,CDK knn+2ec,3,6.373280763626099,34,14,3,3,0.23529411764705882,1.0,1.0,1.0,1.0
sep_k3_d50,sep,6,800,50,3,CDK knn+2ec,3,7.010319948196411,34,14,3,3,0.20588235294117646,1.0,1.0,1.0,1.0
sep_k3_d50,sep,8,800,50,3,CDK knn+2ec,3,3.9888620376586914,33,16,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,10,800,50,3,CDK knn+2ec,3,3.2327473163604736,37,17,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,9,800,50,3,CDK knn+2ec,3,7.804004430770874,37,15,3,3,0.1891891891891892,0.9615384615384616,1.0,1.0,1.0
sep_k3_d50,sep,11,800,50,3,CDK knn+2ec,3,8.922993421554565,37,15,3,3,0.16216216216216217,1.0,1.0,1.0,1.0
sep_k3_d50,sep,12,800,50,3,CDK knn+2ec,3,8.461277723312378,42,17,3,3,0.14285714285714285,1.0,1.0,1.0,1.0
sep_k3_d50,sep,14,800,50,3,CDK knn+2ec,3,5.814812660217285,37,16,3,3,0.13513513513513514,1.0,1.0,1.0,1.0
sep_k3_d50,sep,15,800,50,3,CDK knn+2ec,3,3.6470582485198975,41,18,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,13,800,50,3,CDK knn+2ec,3,10.253242015838623,23,10,3,3,0.4782608695652174,0.9230769230769231,1.0,1.0,1.0
sep_k3_d50,sep,16,800,50,3,CDK knn+2ec,3,3.6703569889068604,38,17,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,18,800,50,3,CDK knn+2ec,3,3.2115466594696045,40,18,3,3,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,17,800,50,3,CDK knn+2ec,3,7.453657627105713,30,13,3,3,0.26666666666666666,0.9615384615384616,1.0,1.0,1.0
sep_k3_d50,sep,19,800,50,3,CDK knn+2ec,3,2.858013868331909,43,19,3,3,0.0,1.0,0.992514192108457,0.9865608248555884,0.9865915100544773
sep_k5_d2,sep,0,800,2,5,CDK knn+2ec,5,4.937952756881714,40,17,5,5,0.525,0.0075,0.981463313194489,0.9778120282951852,0.9779509584621134
sep_k5_d2,sep,1,800,2,5,CDK knn+2ec,5,4.229525566101074,38,16,5,5,0.5263157894736842,0.005,0.9785020843697608,0.9774081107654076,0.9775495765461263
sep_k5_d2,sep,2,800,2,5,CDK knn+2ec,5,4.481012582778931,41,17,5,5,0.5121951219512195,0.005,1.0,1.0,1.0
sep_k5_d2,sep,3,800,2,5,CDK knn+2ec,5,4.564672470092773,41,17,5,5,0.5365853658536586,0.01,0.9439888565124597,0.9535035360357291,0.9537949207327177
sep_k5_d2,sep,4,800,2,5,CDK knn+2ec,5,3.9257283210754395,41,17,5,5,0.5365853658536586,0.005,0.9814335452659734,0.9769473183246515,0.9770916617948454
sep_k5_d2,sep,5,800,2,5,CDK knn+2ec,5,3.9278011322021484,47,20,5,5,0.46808510638297873,0.035,0.9968691099886755,0.9952518682725184,0.9952815964482751
sep_k5_d2,sep,6,800,2,5,CDK knn+2ec,5,4.158456802368164,37,16,5,5,0.4864864864864865,0.015,0.9754419259620173,0.9726764159108316,0.9728475141848425
sep_k5_d2,sep,7,800,2,5,CDK knn+2ec,6,5.4806201457977295,42,17,6,6,0.5952380952380952,0.005,0.9338678775569438,0.9463079154861678,0.9467133764714105
sep_k5_d2,sep,8,800,2,5,CDK knn+2ec,5,7.903850793838501,39,16,5,5,0.5384615384615384,0.005,0.9725416274279405,0.972720590339078,0.9728914224124162
sep_k5_d2,sep,9,800,2,5,CDK knn+2ec,5,7.809890508651733,46,20,5,5,0.43478260869565216,0.027500000000000004,1.0,1.0,1.0
sep_k5_d2,sep,10,800,2,5,CDK knn+2ec,5,5.736163854598999,39,16,5,5,0.5128205128205128,0.01,0.9666634632932005,0.9683831935991778,0.9685812080867381
sep_k5_d2,sep,11,800,2,5,CDK knn+2ec,5,4.3202126026153564,39,16,5,5,0.5641025641025641,0.005,0.95776093899856,0.9579674143464034,0.9582306975692456
sep_k5_d2,sep,12,800,2,5,CDK knn+2ec,5,3.9354562759399414,44,19,5,5,0.4772727272727273,0.0975,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d2,sep,13,800,2,5,CDK knn+2ec,5,3.694338083267212,41,17,5,5,0.4878048780487805,0.05,0.9845044162845311,0.9806025317275346,0.98072398601518
sep_k5_d2,sep,14,800,2,5,CDK knn+2ec,5,4.196394205093384,39,16,5,5,0.5128205128205128,0.005,0.9875656538910945,0.9835904399933479,0.9836931838387913
sep_k5_d2,sep,15,800,2,5,CDK knn+2ec,5,4.758253335952759,35,13,5,5,0.6857142857142857,0.005,0.9783613943088488,0.9722141073052825,0.9723880853194892
sep_k5_d2,sep,16,800,2,5,CDK knn+2ec,5,4.325343370437622,45,19,5,5,0.4444444444444444,0.04,0.9875656538910945,0.9835904399933479,0.9836931838387913
sep_k5_d2,sep,17,800,2,5,CDK knn+2ec,5,4.262470722198486,36,15,5,6,0.5277777777777778,0.005,0.9302780139572704,0.9424532845490241,0.9428140996269602
sep_k5_d2,sep,18,800,2,5,CDK knn+2ec,5,4.324954509735107,43,18,5,5,0.4883720930232558,0.02,1.0,1.0,1.0
sep_k5_d2,sep,19,800,2,5,CDK knn+2ec,5,4.433790445327759,34,14,5,5,0.5588235294117647,0.005,0.9783828090746228,0.9737009594749088,0.9738656337408039
sep_k5_d10,sep,0,800,10,5,CDK knn+2ec,5,5.6199610233306885,46,19,5,5,0.43478260869565216,0.135,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,1,800,10,5,CDK knn+2ec,5,5.396931171417236,44,17,5,5,0.5227272727272727,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,2,800,10,5,CDK knn+2ec,5,4.043577194213867,46,20,5,5,0.34782608695652173,0.3846153846153846,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,3,800,10,5,CDK knn+2ec,5,4.6831395626068115,46,18,5,5,0.45652173913043476,0.2530769230769231,0.9691923778047782,0.9588448709633653,0.9591025469291182
