dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI
sep_k5_d10,sep,5,800,10,5,UniForCE,5,0.2895352840423584,1.0,1.0,1.0
sep_k5_d10,sep,6,800,10,5,UniForCE,5,0.28134584426879883,1.0,1.0,1.0
sep_k5_d10,sep,7,800,10,5,UniForCE,5,0.27104854583740234,1.0,1.0,1.0
sep_k5_d10,sep,8,800,10,5,UniForCE,5,0.28791213035583496,1.0,1.0,1.0
sep_k5_d10,sep,9,800,10,5,UniForCE,5,0.26375436782836914,1.0,1.0,1.0
sep_k5_d10,sep,10,800,10,5,UniForCE,5,0.28041625022888184,1.0,1.0,1.0
sep_k5_d10,sep,11,800,10,5,UniForCE,5,0.2970900535583496,1.0,1.0,1.0
sep_k5_d10,sep,12,800,10,5,UniForCE,5,0.2722749710083008,1.0,1.0,1.0
sep_k5_d10,sep,13,800,10,5,UniForCE,5,0.2753427028656006,1.0,1.0,1.0
sep_k5_d10,sep,14,800,10,5,UniForCE,5,0.2888171672821045,1.0,1.0,1.0
sep_k5_d10,sep,15,800,10,5,UniForCE,5,0.29063892364501953,1.0,1.0,1.0
sep_k5_d50,sep,0,800,50,5,UniForCE,5,0.17083024978637695,1.0,1.0,1.0
sep_k5_d50,sep,1,800,50,5,UniForCE,5,0.175537109375,1.0,1.0,1.0
sep_k5_d50,sep,2,800,50,5,UniForCE,5,0.17612934112548828,1.0,1.0,1.0
sep_k5_d50,sep,3,800,50,5,UniForCE,5,0.17834067344665527,1.0,1.0,1.0
sep_k5_d10,sep,16,800,10,5,UniForCE,5,0.2984776496887207,1.0,1.0,1.0
sep_k5_d10,sep,17,800,10,5,UniForCE,5,0.3116745948791504,1.0,1.0,1.0
sep_k5_d10,sep,18,800,10,5,UniForCE,5,0.3119983673095703,1.0,1.0,1.0
sep_k5_d10,sep,19,800,10,5,UniForCE,5,0.33225369453430176,1.0,1.0,1.0
sep_k5_d50,sep,4,800,50,5,UniForCE,5,0.17881226539611816,1.0,1.0,1.0
sep_k5_d50,sep,5,800,50,5,UniForCE,5,0.16356945037841797,1.0,1.0,1.0
sep_k5_d50,sep,6,800,50,5,UniForCE,5,0.16126656532287598,1.0,1.0,1.0
sep_k5_d50,sep,7,800,50,5,UniForCE,5,0.16556072235107422,1.0,1.0,1.0
sep_k5_d50,sep,8,800,50,5,UniForCE,5,0.1795368194580078,1.0,1.0,1.0
sep_k5_d50,sep,9,800,50,5,UniForCE,5,0.16219162940979004,1.0,1.0,1.0
sep_k5_d50,sep,10,800,50,5,UniForCE,5,0.16567349433898926,1.0,1.0,1.0
sep_k5_d50,sep,11,800,50,5,UniForCE,5,0.1725313663482666,1.0,1.0,1.0
sep_k5_d50,sep,12,800,50,5,UniForCE,5,0.16075801849365234,1.0,1.0,1.0
sep_k5_d50,sep,13,800,50,5,UniForCE,5,0.15594172477722168,1.0,1.0,1.0
sep_k5_d50,sep,14,800,50,5,UniForCE,5,0.1680614948272705,1.0,1.0,1.0
sep_k5_d50,sep,15,800,50,5,UniForCE,5,0.15857648849487305,1.0,1.0,1.0
sep_k5_d50,sep,16,800,50,5,UniForCE,5,0.1562209129333496,1.0,1.0,1.0
sep_k5_d50,sep,17,800,50,5,UniForCE,5,0.15601801872253418,1.0,1.0,1.0
sep_k5_d50,sep,18,800,50,5,UniForCE,5,0.16339516639709473,1.0,1.0,1.0
sep_k5_d50,sep,19,800,50,5,UniForCE,5,0.1615762710571289,1.0,1.0,1.0
sep_k10_d2,sep,0,800,2,10,UniForCE,10,0.2326045036315918,1.0,1.0,1.0
sep_k10_d2,sep,1,800,2,10,UniForCE,10,0.23735928535461426,0.9916949931990172,0.9918089889087548,0.9919942583118082
sep_k10_d2,sep,2,800,2,10,UniForCE,10,0.24491572380065918,1.0,1.0,1.0
sep_k10_d2,sep,3,800,2,10,UniForCE,10,0.24223780632019043,1.0,1.0,1.0
sep_k10_d2,sep,4,800,2,10,UniForCE,10,0.22985458374023438,0.9889040282204484,0.9895825433250186,0.9898181774731815
sep_k10_d2,sep,5,800,2,10,UniForCE,10,0.2606923580169678,1.0,1.0,1.0
sep_k10_d2,sep,6,800,2,10,UniForCE,10,0.2205345630645752,1.0,1.0,1.0
sep_k10_d2,sep,7,800,2,10,UniForCE,10,0.24790549278259277,1.0,1.0,1.0
sep_k10_d2,sep,8,800,2,10,UniForCE,10,0.22481799125671387,0.9862878543951593,0.987675047531697,0.9879538262282462
sep_k10_d2,sep,9,800,2,10,UniForCE,10,0.2553544044494629,1.0,1.0,1.0
sep_k10_d2,sep,10,800,2,10,UniForCE,10,0.2769620418548584,1.0,1.0,1.0
sep_k10_d2,sep,11,800,2,10,UniForCE,10,0.23281097412109375,1.0,1.0,1.0
sep_k10_d2,sep,12,800,2,10,UniForCE,10,0.2558615207672119,1.0,1.0,1.0
