dataset,family,rep,true_k,method,k_hat,ARI,runtime
sep_k2_d10,sep,5,2,CDK 2ec / Gaussian null,2,1.0,8.427787780761719
sep_k2_d10,sep,5,2,CDK 2ec / AD statistic,2,1.0,10.745831727981567
sep_k2_d10,sep,5,2,CDK 2ec / no multiplicity corr.,2,1.0,8.028322696685791
sep_k2_d10,sep,5,2,CDK 2ec / n_min=15,2,1.0,10.411627769470217
sep_k2_d10,sep,5,2,CDK 2ec / n_min=40,2,1.0,14.558539867401125
sep_k2_d10,sep,4,2,CDK 2ec (default),2,1.0,16.445504903793335
sep_k2_d10,sep,4,2,CDK 2ec / Gaussian null,2,1.0,11.58422303199768
sep_k2_d10,sep,4,2,CDK 2ec / AD statistic,2,1.0,16.060109615325928
sep_k2_d10,sep,4,2,CDK 2ec / no multiplicity corr.,2,1.0,16.418826818466187
sep_k2_d10,sep,4,2,CDK 2ec / n_min=15,2,1.0,12.124881744384766
sep_k2_d10,sep,4,2,CDK 2ec / n_min=40,2,1.0,10.305854320526125
sep_k2_d10,sep,7,2,CDK 2ec (default),2,1.0,9.597825527191162
sep_k2_d10,sep,7,2,CDK 2ec / Gaussian null,2,1.0,7.7502641677856445
sep_k2_d10,sep,7,2,CDK 2ec / AD statistic,2,1.0,10.654258251190186
sep_k2_d10,sep,7,2,CDK 2ec / no multiplicity corr.,2,1.0,9.327470779418944
sep_k2_d10,sep,7,2,CDK 2ec / n_min=15,2,1.0,10.375287294387816
sep_k2_d10,sep,7,2,CDK 2ec / n_min=40,2,1.0,14.62999701499939
sep_k2_d10,sep,6,2,CDK 2ec (default),2,1.0,10.48838758468628
sep_k2_d10,sep,6,2,CDK 2ec / Gaussian null,2,1.0,11.358521223068236
sep_k2_d10,sep,6,2,CDK 2ec / AD statistic,2,1.0,13.037577390670776
sep_k2_d10,sep,6,2,CDK 2ec / no multiplicity corr.,2,1.0,10.435008764266968
sep_k2_d10,sep,6,2,CDK 2ec / n_min=15,2,1.0,13.91374945640564
sep_k2_d10,sep,6,2,CDK 2ec / n_min=40,2,1.0,13.614940881729126
sep_k2_d10,sep,9,2,CDK 2ec (default),2,1.0,12.34060287475586
sep_k2_d10,sep,9,2,CDK 2ec / Gaussian null,2,1.0,7.761512756347656
sep_k2_d10,sep,9,2,CDK 2ec / AD statistic,2,1.0,16.360049724578857
sep_k2_d10,sep,9,2,CDK 2ec / no multiplicity corr.,2,1.0,12.055602312088013
sep_k2_d10,sep,9,2,CDK 2ec / n_min=15,2,1.0,11.918691635131836
sep_k2_d10,sep,9,2,CDK 2ec / n_min=40,2,1.0,13.36513638496399
sep_k2_d10,sep,8,2,CDK 2ec (default),2,1.0,18.01005744934082
sep_k2_d10,sep,8,2,CDK 2ec / Gaussian null,2,1.0,12.985744953155518
sep_k2_d10,sep,8,2,CDK 2ec / AD statistic,2,1.0,14.272051095962524
sep_k2_d10,sep,8,2,CDK 2ec / no multiplicity corr.,2,1.0,16.35262680053711
sep_k2_d10,sep,8,2,CDK 2ec / n_min=15,2,1.0,12.55956530570984
sep_k2_d10,sep,8,2,CDK 2ec / n_min=40,2,1.0,16.508745908737183
sep_k2_d50,sep,0,2,CDK 2ec (default),2,1.0,12.908304691314695
sep_k2_d50,sep,0,2,CDK 2ec / Gaussian null,2,1.0,9.32344126701355
sep_k2_d50,sep,0,2,CDK 2ec / AD statistic,2,1.0,35.793888568878174
sep_k2_d50,sep,0,2,CDK 2ec / no multiplicity corr.,2,1.0,13.2449049949646
sep_k2_d50,sep,0,2,CDK 2ec / n_min=15,2,1.0,18.43798351287841
sep_k2_d50,sep,0,2,CDK 2ec / n_min=40,2,1.0,11.96973204612732
sep_k2_d50,sep,1,2,CDK 2ec (default),2,1.0,13.4496750831604
sep_k2_d50,sep,1,2,CDK 2ec / Gaussian null,2,1.0,7.749778032302856
sep_k2_d50,sep,1,2,CDK 2ec / AD statistic,2,1.0,43.98800158500672
