dataset,family,rep,true_k,method,k_hat,ARI,n_tests,sep_evidence,runtime
nongauss_skew,nongauss,4,5,CDK repaired R1999,5,0.9906173109804156,45,0.4666666666666667,123.58399057388306
nongauss_t3_d10,nongauss,0,5,CDK repaired R1999,5,0.9968691099886755,33,0.6060606060606061,105.24692940711975
nongauss_t3_d10,nongauss,1,5,CDK repaired R1999,5,0.9906370506764907,39,0.5897435897435898,97.23811769485474
nongauss_t3_d10,nongauss,2,5,CDK repaired R1999,5,1.0,21,0.8095238095238095,129.11158728599548
nongauss_t3_d10,nongauss,3,5,CDK repaired R1999,5,0.9875259556813485,27,0.7037037037037037,110.6437315940857
nongauss_t3_d10,nongauss,4,5,CDK repaired R1999,5,1.0,38,0.5526315789473685,97.30558252334595
noise_10,noise,0,4,CDK repaired R1999,4,1.0,27,0.48148148148148145,78.71663689613342
noise_10,noise,1,4,CDK repaired R1999,4,1.0,27,0.6296296296296297,90.45256233215332
noise_10,noise,2,4,CDK repaired R1999,4,0.9836427491482942,38,0.2894736842105263,93.12341475486755
noise_10,noise,3,4,CDK repaired R1999,4,0.9868399131660527,13,0.7692307692307693,68.98366832733154
noise_10,noise,4,4,CDK repaired R1999,4,0.970536695797528,28,0.5,78.48582649230957
noise_30,noise,0,4,CDK repaired R1999,2,0.33321380663496336,27,0.48148148148148145,98.76916575431824
noise_30,noise,1,4,CDK repaired R1999,5,0.9915435490740768,23,0.6956521739130435,98.23423790931702
noise_30,noise,2,4,CDK repaired R1999,4,1.0,33,0.48484848484848486,87.09397983551025
noise_30,noise,3,4,CDK repaired R1999,2,0.498802277450851,42,0.35714285714285715,104.02043390274048
noise_30,noise,4,4,CDK repaired R1999,3,0.7117511426319999,44,0.2727272727272727,110.42237973213196
noise_50,noise,0,4,CDK repaired R1999,1,0.0,49,0.30612244897959184,127.45757579803467
noise_50,noise,1,4,CDK repaired R1999,3,0.6914204984825938,35,0.4,98.70594692230225
noise_50,noise,2,4,CDK repaired R1999,1,0.0,48,0.3125,121.73374819755554
noise_50,noise,3,4,CDK repaired R1999,2,0.3305370277363002,45,0.4888888888888889,116.78492641448975
noise_50,noise,4,4,CDK repaired R1999,2,0.0,52,0.3076923076923077,112.89026927947998
nested_d2,nested,0,6,CDK repaired R1999,6,0.992000189305803,55,0.41818181818181815,107.7643551826477
nested_d2,nested,1,6,CDK repaired R1999,6,0.9946547792687578,54,0.3888888888888889,96.38147068023682
nested_d2,nested,2,6,CDK repaired R1999,6,0.9973273736639168,56,0.35714285714285715,95.5863242149353
nested_d2,nested,4,6,CDK repaired R1999,6,0.981453839434775,57,0.42105263157894735,94.61681628227234
nested_d2,nested,3,6,CDK repaired R1999,6,0.9867444477547551,53,0.4528301886792453,118.58934760093689
null_gaussian_d2,null,1,1,CDK repaired R1999,1,1.0,31,0.22580645161290322,56.23548650741577
null_gaussian_d2,null,0,1,CDK repaired R1999,1,1.0,36,0.1111111111111111,65.30423855781555
null_gaussian_d2,null,2,1,CDK repaired R1999,1,1.0,33,0.21212121212121213,65.41761827468872
null_gaussian_d2,null,3,1,CDK repaired R1999,1,1.0,36,0.1111111111111111,71.85409021377563
null_gaussian_d10,null,0,1,CDK repaired R1999,1,1.0,33,0.0,39.574610471725464
null_gaussian_d2,null,4,1,CDK repaired R1999,1,1.0,38,0.13157894736842105,74.86565899848938
null_gaussian_d10,null,1,1,CDK repaired R1999,1,1.0,39,0.0,27.22284960746765
null_gaussian_d10,null,3,1,CDK repaired R1999,1,1.0,38,0.02631578947368421,36.223055839538574
null_gaussian_d10,null,2,1,CDK repaired R1999,1,1.0,36,0.0,42.23695230484009
null_gaussian_d10,null,4,1,CDK repaired R1999,1,1.0,32,0.0,37.30445313453674
null_uniform_d2,null,0,1,CDK repaired R1999,1,1.0,35,0.2,69.1049394607544
null_uniform_d2,null,1,1,CDK repaired R1999,1,1.0,33,0.21212121212121213,64.1968560218811
null_uniform_d2,null,2,1,CDK repaired R1999,1,1.0,41,0.12195121951219512,66.31638598442078
null_uniform_d2,null,3,1,CDK repaired R1999,1,1.0,42,0.11904761904761904,71.87361645698547
null_uniform_d2,null,4,1,CDK repaired R1999,1,1.0,33,0.3333333333333333,74.85021471977234
null_uniform_d10,null,0,1,CDK repaired R1999,1,1.0,36,0.027777777777777776,53.99087882041931
null_uniform_d10,null,1,1,CDK repaired R1999,1,1.0,31,0.0,36.92176294326782
null_uniform_d10,null,2,1,CDK repaired R1999,1,1.0,33,0.030303030303030304,39.72370433807373
null_uniform_d10,null,3,1,CDK repaired R1999,1,1.0,32,0.03125,59.40756583213806
null_uniform_d10,null,4,1,CDK repaired R1999,1,1.0,40,0.025,50.37328362464905
null_t3_d2,null,1,1,CDK repaired R1999,1,1.0,0,0.0,0.0033168792724609375
