dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,sep_evidence,p_median,ARI,AMI,NMI
sep_k5_d50,sep,4,800,50,5,CDK repaired,5,16.282833576202393,29,12,0.6551724137931034,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,5,800,50,5,CDK repaired,5,17.160537004470825,38,14,0.6052631578947368,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,6,800,50,5,CDK repaired,5,16.40401816368103,44,16,0.5909090909090909,0.005,1.0,1.0,1.0
sep_k5_d50,sep,7,800,50,5,CDK repaired,5,17.173339366912842,37,14,0.5945945945945946,0.005,1.0,1.0,1.0
sep_k5_d50,sep,8,800,50,5,CDK repaired,5,13.56749176979065,45,18,0.4666666666666667,0.7307692307692307,1.0,1.0,1.0
sep_k5_d50,sep,9,800,50,5,CDK repaired,5,15.426038980484009,35,14,0.5428571428571428,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,10,800,50,5,CDK repaired,5,10.008188962936401,46,20,0.32608695652173914,1.0,1.0,1.0,1.0
sep_k5_d50,sep,11,800,50,5,CDK repaired,5,15.023972272872925,38,16,0.42105263157894735,0.9038461538461539,0.9937480346795808,0.9905061789482672,0.9905656200078304
sep_k5_d50,sep,12,800,50,5,CDK repaired,5,10.42534589767456,48,20,0.375,0.9423076923076923,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,13,800,50,5,CDK repaired,5,16.44760298728943,29,11,0.7241379310344828,0.005,1.0,1.0,1.0
sep_k5_d50,sep,14,800,50,5,CDK repaired,5,17.52613139152527,37,13,0.6216216216216216,0.005,1.0,1.0,1.0
sep_k5_d50,sep,15,800,50,5,CDK repaired,5,12.398571014404297,41,17,0.4878048780487805,0.7307692307692307,1.0,1.0,1.0
sep_k5_d50,sep,16,800,50,5,CDK repaired,5,15.932470560073853,32,14,0.40625,0.9615384615384616,0.9968691099886755,0.9952518682725184,0.9952815964482751
sep_k5_d50,sep,17,800,50,5,CDK repaired,5,16.52220892906189,35,14,0.5714285714285714,0.005,1.0,1.0,1.0
sep_k5_d50,sep,18,800,50,5,CDK repaired,5,16.76380944252014,39,15,0.5384615384615384,0.005,1.0,1.0,1.0
sep_k5_d50,sep,19,800,50,5,CDK repaired,5,10.28187084197998,47,20,0.3404255319148936,1.0,1.0,1.0,1.0
sep_k10_d2,sep,0,800,2,10,CDK repaired,10,10.119539737701416,47,19,0.8085106382978723,0.005,0.9808899378218139,0.9850267171260859,0.9853654558991948
sep_k10_d2,sep,1,800,2,10,CDK repaired,10,10.828740358352661,49,19,0.7959183673469388,0.005,0.9809936219731817,0.9850469854986889,0.9853852568249435
sep_k10_d2,sep,2,800,2,10,CDK repaired,10,9.989126682281494,47,18,0.8085106382978723,0.005,0.978234940587205,0.9805980113941294,0.9810369056695135
sep_k10_d2,sep,3,800,2,10,CDK repaired,10,11.172101736068726,52,20,0.8076923076923077,0.005,0.9944164284049487,0.9940212980624569,0.9941565274494993
sep_k10_d2,sep,4,800,2,10,CDK repaired,10,9.697039365768433,50,20,0.8,0.005,0.9944517015171701,0.9947913446469437,0.9949091578370609
sep_k10_d2,sep,5,800,2,10,CDK repaired,10,10.926743745803833,45,18,0.8222222222222222,0.005,0.9888338005509576,0.988805629826583,0.9890588370269919
sep_k10_d2,sep,6,800,2,10,CDK repaired,10,10.45612621307373,51,19,0.8235294117647058,0.005,0.9916252324538937,0.9917950719698342,0.9919806596341608
sep_k10_d2,sep,7,800,2,10,CDK repaired,10,9.652956485748291,41,17,0.8292682926829268,0.005,0.959886315293953,0.9677653589218228,0.9684947149348115
sep_k10_d2,sep,8,800,2,10,CDK repaired,10,9.013080358505249,46,19,0.8043478260869565,0.005,0.9862546761338381,0.9881334750550141,0.9884018973843361
sep_k10_d2,sep,9,800,2,10,CDK repaired,10,9.670381307601929,44,19,0.7954545454545454,0.005,0.9482438441230044,0.9632187626817152,0.9640515503532505
sep_k10_d2,sep,10,800,2,10,CDK repaired,10,9.218704462051392,36,15,0.8611111111111112,0.005,0.9275872699890225,0.9521808610471583,0.9532642550181601
sep_k10_d2,sep,11,800,2,10,CDK repaired,10,10.941153049468994,47,19,0.8085106382978723,0.005,0.980812181146235,0.9829453195327273,0.9833310951529012
sep_k10_d2,sep,12,800,2,10,CDK repaired,10,9.92722773551941,49,19,0.8163265306122449,0.005,0.9890457178955094,0.991123014258148,0.9913238118727026
