dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,5,800,2,2,Calinski-Har.,2,0.10728049278259277,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Davies-Bouldin,2,0.1290431022644043,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Elbow (Kneedle),6,0.10532093048095703,0.34038102231571343,0.5595480242776402,0.5606664002904308,,,,,,,4,4,0.0
sep_k2_d2,sep,5,800,2,2,Jump statistic,2,0.09562945365905762,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Gap statistic,2,0.3976430892944336,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,X-means,2,0.010147571563720703,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,G-means,2,0.012293577194213867,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,dip-means,2,0.04613041877746582,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,ISODATA,7,0.022273778915405273,0.2932917661070911,0.5271810479767179,0.5285401291265651,,,,,,,5,5,0.0
sep_k2_d2,sep,5,800,2,2,MDL split/merge,2,0.006618499755859375,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,GMM+BIC,2,0.21908235549926758,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,GMM+ICL,2,0.2262895107269287,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,HDBSCAN,2,0.005332231521606445,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Bisecting+Sil.,2,0.1366260051727295,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,ORACLE k-means(k*),2,0.002500772476196289,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,CDK (proposed),2,3.236022710800171,1.0,1.0,1.0,2.0,3.0,39.0,16.0,0.5128205128205128,0.01,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Silhouette,2,0.1421070098876953,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Calinski-Har.,2,0.08621048927307129,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Davies-Bouldin,2,0.10124444961547852,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Elbow (Kneedle),6,0.08863592147827148,0.33288422224166897,0.5570855753502788,0.5582051586043237,,,,,,,4,4,0.0
sep_k2_d2,sep,6,800,2,2,Jump statistic,2,0.08387255668640137,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Gap statistic,2,0.4969463348388672,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,X-means,2,0.008094549179077148,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,G-means,2,0.0070705413818359375,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,dip-means,2,0.04142451286315918,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,ISODATA,7,0.017595767974853516,0.291379744910714,0.5264490884087206,0.5278083264874605,,,,,,,5,5,0.0
sep_k2_d2,sep,6,800,2,2,MDL split/merge,2,0.005453824996948242,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,GMM+BIC,2,0.15219950675964355,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,GMM+ICL,2,0.22632694244384766,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,HDBSCAN,2,0.004440784454345703,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,6,800,2,2,Bisecting+Sil.,2,0.11913847923278809,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,ORACLE k-means(k*),2,0.003319978713989258,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,CDK (proposed),2,3.8723602294921875,1.0,1.0,1.0,2.0,2.0,54.0,21.0,0.37037037037037035,0.2121153846153846,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Silhouette,2,0.18559598922729492,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Calinski-Har.,2,0.10838842391967773,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,7,800,2,2,Davies-Bouldin,2,0.11899495124816895,1.0,1.0,1.0,,,,,,,0,0,1.0
