dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,3,800,2,2,X-means,2,0.008386611938476562,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,G-means,2,0.007597684860229492,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,dip-means,2,0.03361344337463379,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,ISODATA,6,0.016574382781982422,0.33521601792768574,0.5578977753505773,0.5590169710122934,,,,,,,4,4,0.0
sep_k2_d2,sep,3,800,2,2,MDL split/merge,2,0.0057849884033203125,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,GMM+BIC,2,0.15851593017578125,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,GMM+ICL,2,0.1638166904449463,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,HDBSCAN,2,0.004588603973388672,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Bisecting+Sil.,2,0.11478233337402344,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,ORACLE k-means(k*),2,0.0025408267974853516,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,CDK (proposed),2,2.9571900367736816,1.0,1.0,1.0,2.0,2.0,47.0,19.0,0.425531914893617,0.055,0,0,1.0
sep_k2_d2,sep,5,800,2,2,CDK / Gaussian null,2,4.709833860397339,1.0,1.0,1.0,2.0,7.0,47.0,19.0,0.5957446808510638,0.005,0,0,1.0
sep_k2_d2,sep,5,800,2,2,CDK / AD statistic,2,4.644891977310181,1.0,1.0,1.0,2.0,2.0,47.0,19.0,0.23404255319148937,0.06,0,0,1.0
sep_k2_d2,sep,5,800,2,2,CDK / no multiplicity corr.,2,2.9853880405426025,1.0,1.0,1.0,2.0,3.0,47.0,19.0,0.48936170212765956,0.055,0,0,1.0
sep_k2_d2,sep,5,800,2,2,CDK / n_min=15,2,4.129953622817993,1.0,1.0,1.0,2.0,2.0,73.0,29.0,0.2328767123287671,0.085,0,0,1.0
sep_k2_d2,sep,5,800,2,2,CDK / n_min=40,2,1.936147928237915,1.0,1.0,1.0,2.0,2.0,23.0,10.0,0.4782608695652174,0.015,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Silhouette,2,0.14229035377502441,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Calinski-Har.,2,0.08729267120361328,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Davies-Bouldin,2,0.09548592567443848,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Elbow (Kneedle),6,0.08900308609008789,0.34038102231571343,0.5595480242776402,0.5606664002904308,,,,,,,4,4,0.0
sep_k2_d2,sep,5,800,2,2,Jump statistic,2,0.08541345596313477,1.0,1.0,1.0,,,,,,,0,0,1.0
